Address,S1 Waifu Tokens,S1 Llama Tokens,S1 Waifu Bonus Tokens,S1 Llama Bonus Tokens,S1 Node Rental Bonus Tokens,S1 Llama Points,S1 Waifu Points,S1 Total Base Tokens,S1 Total Bonus Tokens
0xb10465e0d00b7eec8d7c4e728f18f94a9fdc298b,13720.53062181127,1523.712737323276,89.36550491510278,62.57822277847309,0,14124.888760000002,472241.62578125007,15244.243359134545,151.94372769357585
0xad1e82689546f8531a0c84bafae99c9c5feb7f15,0,115.10582897113918,0,362.36409001616045,0,494.4398000000001,0,115.10582897113918,362.36409001616045
0x686771c181823bdc4674d8993b12c95f0d1a5567,0,1441.2335390443698,0,362.36409001616045,0,13326.77503804081,0,1441.2335390443698,362.36409001616045
0x3d9a0383392574209abd9b5e7b1c80374d8fa3e8,0,680.9693922549341,0,62.57822277847309,0,5970.044365000001,0,680.9693922549341,62.57822277847309
0x5057b32e28e66a651524142f99411df9a751133d,8225.24943040353,11929.486403743242,562.0191173391406,362.36409001616045,0,114816.83199019186,283101.6722702588,20154.73583414677,924.383207355301
0xd0467e1474a324f073ae0c59681eb0469bbcdc08,2164.0406089989056,1371.387331314075,89.36550491510278,62.57822277847309,0,12650.905024999996,74483.275,3535.4279403129804,151.94372769357585
0x99bdf0fbf7dc1dc247bf1511dbfcb048471f99ba,0,80.02118259416633,0,362.36409001616045,0,154.94162,0,80.02118259416633,362.36409001616045
0x50560f3d6304696306a25f820d5fd54015fee1c5,3906.3660767996334,0,89.36550491510278,0,0,0,134451.7,3906.3660767996334,89.36550491510278
0x91440b36ba8bd6418855e2d6aee455d55c93aa1d,73.78202724755991,168.35826471632572,89.36550491510278,62.57822277847309,0,1009.7394220000001,2539.4750000000004,242.14029196388563,151.94372769357585
0xdbb22d63cb0e485b0f9f7227449bc87f14f855ef,0,7852.08231621206,0,362.36409001616045,0,75361.64546877553,0,7852.08231621206,362.36409001616045
0x1f13225e657d78a36188d86d76dfd2b1f1f6f445,804.1986020717311,122.94725485329559,89.36550491510278,62.57822277847309,0,570.3177149999999,27679.4,927.1458569250267,151.94372769357585
0x49a6d294c6674b5722b8467fe0fa50fab67db5b2,86.35443994731096,4572.136870286553,89.36550491510278,62.57822277847309,0,43623.103845,2972.2000000000003,4658.491310233864,151.94372769357585
0xa43c47786b5c0d5638161f4e862dc081454efd33,14.954118242675781,0,562.0191173391406,0,0,0,514.7,14.954118242675781,562.0191173391406
0x3a9a8bf390ac46719b025ee981cd5e423be13ba2,1581.4321426687636,812.1812822675859,89.36550491510278,62.57822277847309,0,7239.7222,54430.70000000001,2393.6134249363495,151.94372769357585
0xbe12ab4b09db47f78caf3e0365a6779ad77b2cc2,0,1925.2510170061453,0,362.36409001616045,0,18010.392227469383,0,1925.2510170061453,362.36409001616045
0x161a9f8fceb0e4e4bcf44f516e6c1be09ffb7450,0,804.6030096954237,0,1041.9757405015973,0,7166.390700000001,0,804.6030096954237,1041.9757405015973
0x558c99d947f779908cc9557b2a54d140300a4948,22.046937585969395,108.75620994022037,89.36550491510278,62.57822277847309,0,432.99742200000003,758.8249999999999,130.80314752618978,151.94372769357585
0x25cc1729b91144e929d926576db209b88846246e,2766.1777533488935,1120.2936989160482,89.36550491510278,62.57822277847309,0,10221.186044999999,95207.99999999999,3886.471452264942,151.94372769357585
0x6f75561f43796318d4852b3057e992769208a9e5,3.464695163083518,80.58655956179895,89.36550491510278,62.57822277847309,0,160.41251599999998,119.25,84.05125472488247,151.94372769357585
0xae37d0aba0fe431c63d4333e7bfcb163a4f8d15c,0,2770.1988246425867,0,62.57822277847309,0,26186.568205000003,0,2770.1988246425867,62.57822277847309
0x4cc6c0ea2c100b76ac9b715f27e23027ca373a47,0,0,0,0,0,9903.934922040815,0,0,0
0xf664b724c59670e006aab85e2b0bcc9d5ca09a87,57.358682140916144,129.07667536592237,89.36550491510278,62.57822277847309,0,629.629332,1974.20625,186.4353575068385,151.94372769357585
0x494d16bcc7d6b6af0ce0289cbbff62a729c3a6c9,8035.5751883926405,5051.176372481513,89.36550491510278,62.57822277847309,0,48258.551425000005,276573.34804687503,13086.751560874152,151.94372769357585
0x8d2fe55f0939e68c013858baab637df900117a76,456.37385971824693,7328.111882316641,89.36550491510278,62.57822277847309,0,70291.42168,15707.755,7784.485742034888,151.94372769357585
0xcde589e961a10549670f9c05051dd2f884d206e0,0,3888.4286655463125,0,62.57822277847309,0,37007.170235000005,0,3888.4286655463125,62.57822277847309
0x9dae9a4fc5a8804094e411b4dde918aa7aa951f9,10325.032280891495,2843.6930570055383,89.36550491510278,62.57822277847309,0,26897.738494693884,355373.2843845664,13168.725337897034,151.94372769357585
0x2b3af316554482e1dd3a35fcf4f498f1ea10aa9d,316.8198608456539,1093.2910012379293,89.36550491510278,62.57822277847309,0,9959.89321,10904.500000000002,1410.1108620835832,151.94372769357585
0xc4b80195d9554bb6d9ab8d86a589926d1d330f1f,0,61812.71318978075,0,362.36409001616045,0,597514.1499116326,0,61812.71318978075,362.36409001616045
0x77192bc22102f23ea4adca598d33d07102f7ce3d,7855.3398189664795,998.7663531692658,562.0191173391406,362.36409001616045,0,9045.221144058529,270369.8967207442,8854.106172135746,924.383207355301
0xa3b8734ef3ef8f475b48565bba3258e7af73a2d5,67.06073653653402,128.055999969599,89.36550491510278,62.57822277847309,0,619.7527200000001,2308.1375,195.116736506133,151.94372769357585
